Date,Dead,Injured,Location,City,State
1/1/2015,0,5,"Memphis, TN",Memphis, TN
1/2/2015,1,4,"Savannah, GA",Savannah, GA
1/4/2015,3,1,"Dallas, TX",Dallas, TX
1/4/2015,2,4,"Roanoke, VA",Roanoke, VA
1/6/2015,1,3,"Miami, FL",Miami, FL
1/7/2015,1,3,"Chattanooga, TN",Chattanooga, TN
1/8/2015,1,3,"Boston, MA",Boston, MA
1/9/2015,4,0,"San Francisco, CA",San Francisco, CA
1/10/2015,3,1,"Moscow, ID",Moscow, ID
1/11/2015,2,5,"Hope Mills, NC",Hope Mills, NC
1/11/2015,1,3,"Lakeland, FL",Lakeland, FL
1/11/2015,0,5,"San Jose, CA",San Jose, CA
1/11/2015,0,5,"Tuskegee, AL",Tuskegee, AL
1/12/2015,2,2,"Wichita, KS",Wichita, KS
1/13/2015,0,5,"Portsmouth, VA",Portsmouth, VA
1/14/2015,2,3,"Rockford, IL",Rockford, IL
1/19/2015,2,5,"San Antonio, TX",San Antonio, TX
1/20/2015,1,3,"Clarksville, TN",Clarksville, TN
1/23/2015,0,6,"Boston, MA",Boston, MA
1/24/2015,3,5,"Omaha, NE",Omaha, NE
1/24/2015,4,1,"Queens, NY",Queens, NY
1/26/2015,1,4,"Stockton, CA",Stockton, CA
1/28/2015,1,3,"DeKalb, GA",DeKalb, GA
1/29/2015,5,0,"Troup County, GA",Troup County, GA
2/1/2015,1,4,"Manhattan, NY",Manhattan, NY
2/1/2015,0,6,"Syracuse, NY",Syracuse, NY
2/4/2015,4,0,"King, NC",King, NC
2/5/2015,3,3,"Warrensville Heights, OH",Warrensville Heights, OH
2/6/2015,1,3,"Tulsa, OK",Tulsa, OK
2/7/2015,5,2,"Douglasville, GA",Douglasville, GA
2/8/2015,0,6,"Crockett County, TN",Crockett County, TN
2/9/2015,3,1,"New Port Richey, FL",New Port Richey, FL
2/15/2015,0,5,"Long Beach, CA",Long Beach, CA
2/17/2015,1,3,"Little Rock, AR",Little Rock, AR
2/22/2015,0,4,"Charleston, SC",Charleston, SC
2/22/2015,3,2,"Habersham County, GA",Habersham County, GA
2/22/2015,4,1,"Killeen, TX",Killeen, TX
2/25/2015,3,2,"Houston, TX",Houston, TX
2/27/2015,8,1,"Tyrone, MO",Tyrone, MO
2/28/2015,1,3,"Baltimore, MD",Baltimore, MD
2/28/2015,3,1,"Columbia, MO",Columbia, MO
2/28/2015,4,0,"Tarboro, NC",Tarboro, NC
3/1/2015,1,5,"Detroit, MI",Detroit, MI
3/1/2015,0,4,"Tangelo Park, FL",Tangelo Park, FL
3/2/2015,1,4,"Santa Ana, CA",Santa Ana, CA
3/3/2015,3,1,"Las Vegas, NV",Las Vegas, NV
3/4/2015,2,5,"San Bernadino, CA",San Bernadino, CA
3/9/2015,1,3,"Chicago, IL",Chicago, IL
3/10/2015,0,5,"Columbus, GA",Columbus, GA
3/11/2015,0,4,"Aurora, IL",Aurora, IL
3/13/2015,2,3,"Brookhaven, MS",Brookhaven, MS
3/14/2015,0,5,"Atlanta, GA",Atlanta, GA
3/15/2015,3,1,"Houston County, AL",Houston County, AL
3/15/2015,0,4,"Lillington, NC",Lillington, NC
3/16/2015,0,4,"Compton, CA",Compton, CA
3/17/2015,3,4,"Stockton, CA",Stockton, CA
3/18/2015,1,5,"Mesa, AZ",Mesa, AZ
3/18/2015,1,3,"Newark, NJ",Newark, NJ
3/19/2015,2,2,"Navajo Nation, AZ",Navajo Nation, AZ
3/20/2015,0,4,"Columbus, MS",Columbus, MS
3/20/2015,0,4,"Joliet, IL",Joliet, IL
3/20/2015,1,5,"Lancaster, TX",Lancaster, TX
3/20/2015,0,4,"Oklahoma City, OK",Oklahoma City, OK
3/21/2015,0,5,"Lehigh Acres, FL",Lehigh Acres, FL
3/21/2015,0,4,"Ybor City, FL",Ybor City, FL
3/22/2015,1,6,"Albuquerque, NM",Albuquerque, NM
3/23/2015,1,4,"Clarksville, TN",Clarksville, TN
3/24/2015,4,0,"Indianapolis, IN",Indianapolis, IN
3/26/2015,0,4,"Amarillo, TX",Amarillo, TX
3/28/2015,0,7,"Panama City Beach, FL",Panama City Beach, FL
3/29/2015,0,4,"Stockton, CA",Stockton, CA
3/30/2015,4,0,"Tulsa, OK",Tulsa, OK
4/2/2015,0,5,"Baltimore, MD",Baltimore, MD
4/3/2015,0,4,"Daytona Beach, FL",Daytona Beach, FL
4/5/2015,0,5,"Indianapolis, IN",Indianapolis, IN
4/5/2015,1,4,"Louisville, KY",Louisville, KY
4/7/2015,1,3,"North Rome, GA",North Rome, GA
4/16/2015,1,4,"Los Angeles, CA",Los Angeles, CA
4/16/2015,5,0,"Phoenix, AZ",Phoenix, AZ
4/18/2015,0,4,"Charlotte, NC",Charlotte, NC
4/18/2015,1,3,"Lumberton, NC",Lumberton, NC
4/18/2015,0,5,"Montgomery, AL",Montgomery, AL
4/18/2015,1,3,"Paterson, NJ",Paterson, NJ
4/18/2015,0,5,"Williamsport, PA",Williamsport, PA
4/19/2015,0,4,"Richmond, VA",Richmond, VA
4/21/2015,2,3,"Killeen, TX",Killeen, TX
4/25/2015,1,6,"Gates, NY",Gates, NY
4/25/2015,0,4,"Trenton, NJ",Trenton, NJ
4/27/2015,2,4,"Brooklyn, NY",Brooklyn, NY
4/27/2015,2,2,"Gila Bend, AZ",Gila Bend, AZ
5/1/2015,2,3,"Milwaukee, WI",Milwaukee, WI
5/3/2015,1,6,"Dayton, OH",Dayton, OH
5/3/2015,0,6,"Houston, TX",Houston, TX
5/3/2015,4,1,"Menasha, WI",Menasha, WI
5/3/2015,0,4,"South Bend, IN",South Bend, IN
5/4/2015,0,4,"Bronx, NY",Bronx, NY
5/4/2015,1,3,"Buffalo, NY",Buffalo, NY
5/7/2015,0,4,"Cincinnati, OH",Cincinnati, OH
5/10/2015,1,4,"Cleveland, OH",Cleveland, OH
5/10/2015,0,4,"Jersey City, NJ",Jersey City, NJ
5/10/2015,1,3,"Newark, NJ",Newark, NJ
5/12/2015,1,4,"Capitol Heights, MD",Capitol Heights, MD
5/12/2015,5,0,"Tucson, AZ",Tucson, AZ
5/13/2015,4,0,"Anchorage, AK",Anchorage, AK
5/16/2015,0,5,"Baltimore, MD",Baltimore, MD
5/16/2015,0,5,"Milwaukee, WI",Milwaukee, WI
5/16/2015,0,4,"Rochester, NY",Rochester, NY
5/17/2015,9,18,"Waco, TX",Waco, TX
5/18/2015,0,4,"Kinloch, MO",Kinloch, MO
5/18/2015,1,4,"Miami, FL",Miami, FL
5/19/2015,1,3,"Arlington, VA",Arlington, VA
5/20/2015,1,4,"Baltimore, MD",Baltimore, MD
5/23/2015,2,2,"Fresno, CA",Fresno, CA
5/24/2015,0,5,"Brockton, MA",Brockton, MA
5/24/2015,0,7,"Flint, MI",Flint, MI
5/24/2015,1,3,"Montgomery, AL",Montgomery, AL
5/24/2015,0,4,"St. Louis, MO",St. Louis, MO
5/25/2015,1,4,"Decatur, IL",Decatur, IL
5/26/2015,2,2,"New Orleans, LA",New Orleans, LA
5/28/2015,1,3,"Chester, PA",Chester, PA
5/28/2015,0,5,"Chicago, Il",Chicago, Il
5/28/2015,0,4,"Omaha, NE",Omaha, NE
5/29/2015,1,3,"Miami, FL",Miami, FL
5/30/2015,1,3,"North Amityville, NY",North Amityville, NY
5/30/2015,0,4,"San Diego, CA",San Diego, CA
5/31/2015,3,1,"Cleveland, OH",Cleveland, OH
5/31/2015,1,3,"Conyers, GA",Conyers, GA
5/31/2015,0,5,"New Haven, CT",New Haven, CT
5/31/2015,1,3,"Springdale, MD",Springdale, MD
6/2/2015,0,4,"Anniston, AL",Anniston, AL
6/3/2015,3,1,"Wyandanch, NY",Wyandanch, NY
6/5/2015,0,5,"Davenport, IA",Davenport, IA
6/5/2015,1,3,"New Orleans, LA",New Orleans, LA
6/6/2015,1,4,"Buffalo, NY",Buffalo, NY
6/6/2015,0,5,"Chicago, IL",Chicago, IL
6/7/2015,5,0,"Deer Lodge, MT",Deer Lodge, MT
6/9/2015,1,3,"St. Louis, MO",St. Louis, MO
6/10/2015,1,3,"Cincinnati, OH",Cincinnati, OH
6/10/2015,1,3,"Los Angeles, CA",Los Angeles, CA
6/11/2015,1,8,"Bridgeport, CT",Bridgeport, CT
6/11/2015,1,3,"Houston, TX",Houston, TX
6/12/2015,0,4,"Miami, FL",Miami, FL
6/13/2015,0,5,"Bronx, NY",Bronx, NY
6/13/2015,4,1,"Columbus, OH",Columbus, OH
6/13/2015,1,4,"Fayette County, GA",Fayette County, GA
6/13/2015,0,4,"Oklahoma City, OK",Oklahoma City, OK
6/13/2015,0,4,"St. Louis, MO",St. Louis, MO
6/13/2015,0,4,"Tulsa, OK",Tulsa, OK
6/14/2015,1,3,"Camden, NJ",Camden, NJ
6/14/2015,1,3,"Milledgeville, GA",Milledgeville, GA
6/15/2015,0,4,"Brooklyn, NY",Brooklyn, NY
6/16/2015,0,4,"Miami Gardens, FL",Miami Gardens, FL
6/17/2015,9,0,"Charleston, SC",Charleston, SC
6/19/2015,0,4,"Woonsocket, RI",Woonsocket, RI
6/20/2015,1,11,"Detroit, MI",Detroit, MI
6/20/2015,0,10,"Philadelphia, PA",Philadelphia, PA
6/21/2015,0,5,"Lexington, KY",Lexington, KY
6/21/2015,4,0,"Roy, UT",Roy, UT
6/22/2015,0,7,"Philadelphia, PA",Philadelphia, PA
6/23/2015,3,1,"Breaux Bridge, LA",Breaux Bridge, LA
6/23/2015,1,3,"Chicago, IL",Chicago, IL
6/24/2015,0,4,"Manhattan, NY",Manhattan, NY
6/25/2015,0,4,"New Orleans, LA",New Orleans, LA
6/26/2015,0,4,"Detroit, MI",Detroit, MI
6/27/2015,4,0,"Greenacres, FL",Greenacres, FL
6/27/2015,1,3,"Hartford, CT",Hartford, CT
6/27/2015,1,3,"Taunton, MA",Taunton, MA
6/28/2015,0,5,"Detroit, MI",Detroit, MI
6/28/2015,0,6,"Harrington, DE",Harrington, DE
6/28/2015,0,6,"Venice, IL",Venice, IL
6/29/2015,0,4,"Opa-locka, FL",Opa-locka, FL
7/1/2015,1,3,"Indianapolis, IN",Indianapolis, IN
7/1/2015,1,4,"Newark, NJ",Newark, NJ
7/3/2015,2,2,"Philadelphia, PA",Philadelphia, PA
7/4/2015,1,4,"Pittsfield, MA",Pittsfield, MA
7/4/2015,0,4,"San Antonio, TX",San Antonio, TX
7/4/2015,0,4,"Syracuse, NY",Syracuse, NY
7/4/2015,1,3,"Washington, D.C.",Washington, D.C.
7/5/2015,1,3,"East Orange, NJ",East Orange, NJ
7/5/2015,0,9,"Fort Wayne, IN",Fort Wayne, IN
7/5/2015,4,0,"Rock Hill, SC",Rock Hill, SC
7/5/2015,0,8,"Shreveport, LA",Shreveport, LA
7/7/2015,3,1,"Baltimore, MD",Baltimore, MD
7/12/2015,3,1,"Baton Rouge, LA",Baton Rouge, LA
7/12/2015,0,4,"Jersey City, NJ",Jersey City, NJ
7/12/2015,2,3,"River Forest, IL",River Forest, IL
7/13/2015,1,4,"Stockton, CA",Stockton, CA
7/14/2015,0,4,"St. Louis, MO",St. Louis, MO
7/15/2015,0,5,"Atlanta, GA",Atlanta, GA
7/15/2015,1,3,"Baltimore, MD",Baltimore, MD
7/15/2015,0,7,"Cleveland, OH",Cleveland, OH
7/15/2015,0,4,"Detroit, MI",Detroit, MI
7/15/2015,4,1,"Holly Hill, SC",Holly Hill, SC
7/16/2015,5,3,"Chattanooga, TN",Chattanooga, TN
7/16/2015,0,4,"Dallas, TX",Dallas, TX
7/17/2015,2,4,"Aroostook County, ME",Aroostook County, ME
7/17/2015,0,5,"Chicago, IL",Chicago, IL
7/17/2015,0,4,"Cincinnati, OH",Cincinnati, OH
7/17/2015,1,5,"Columbus, OH",Columbus, OH
7/17/2015,1,3,"Washington, DC",Washington, DC
7/18/2015,2,2,"Baton Rouge, LA",Baton Rouge, LA
7/18/2015,1,3,"Salem, OR",Salem, OR
7/19/2015,0,6,"Louisville, KY",Louisville, KY
7/19/2015,0,4,"Suffolk, VA",Suffolk, VA
7/20/2015,0,5,"Bronx, NY",Bronx, NY
7/21/2015,1,3,"Miami Gardens, FL",Miami Gardens, FL
7/22/2015,4,1,"Forsyth County, GA",Forsyth County, GA
7/23/2015,3,9,"Lafayette, LA",Lafayette, LA
7/25/2015,2,4,"Erie, PA",Erie, PA
7/25/2015,0,4,"Hopewell, VA",Hopewell, VA
7/26/2015,0,5,"Indianapolis, IN",Indianapolis, IN
7/26/2015,2,3,"Kansas City, MO",Kansas City, MO
