State,Guns,Pop
Alabama,4244406,4779736
Alaska,630685,710231
Arizona,5676111,6392017
Arkansas,2589335,2915918
California,33081513,37253956
Colorado,4465926,5029196
Connecticut,3173798,3574097
Delaware,797365,897934
Florida,16695563,18801310
Georgia,8602636,9687653
Hawaii,1207947,1360301
Idaho,1392013,1567582
Illinois,11393601,12830632
Indiana,5757616,6483802
Iowa,2705163,3046355
Kansas,2533569,2853118
Kentucky,3853358,4339367
Louisiana,4025634,4533372
Maine,1179585,1328361
Maryland,5126914,5773552
Massachusetts,5814295,6547629
Michigan,8776672,9883640
Minnesota,4709885,5303925
Mississippi,2634960,2967297
Missouri,5318167,5988927
Montana,878601,989415
Nebraska,1621791,1826341
Nevada,2398089,2700551
New Hampshire,1169025,1316470
New Jersey,7807202,8791894
New Mexico,1828551,2059179
New York,17207705,19378102
North Carolina,8467509,9535483
North Dakota,597261,672591
Ohio,10244416,11536504
Oklahoma,3331200,3751351
Oregon,3401449,3831074
Pennsylvania,11279713,12702379
Rhode Island,934679,1052567
South Carolina,4107323,4625363
South Dakota,722992,814180
Tennessee,5635341,6346105
Texas,22329258,25145561
Utah,2454330,2763885
Vermont,555658,625741
Virginia,7104909,8001024
Washington,5971392,6724540
West Virginia,1645459,1852994
Wisconsin,5050044,5686986
Wyoming,500500,563626
