State Name,Guns
Alabama,"4,244,406.00"
Alaska,"630,685.00"
Arizona,"5,676,111.00"
Arkansas,"2,589,335.00"
California,"33,081,513.00"
Colorado,"4,465,926.00"
Connecticut,"3,173,798.00"
Delaware,"797,365.00"
Florida,"16,695,563.00"
Georgia,"8,602,636.00"
Hawaii,"1,207,947.00"
Idaho,"1,392,013.00"
Illinois,"11,393,601.00"
Indiana,"5,757,616.00"
Iowa,"2,705,163.00"
Kansas,"2,533,569.00"
Kentucky,"3,853,358.00"
Louisiana,"4,025,634.00"
Maine,"1,179,585.00"
Maryland,"5,126,914.00"
Massachusetts,"5,814,295.00"
Michigan,"8,776,672.00"
Minnesota,"4,709,885.00"
Mississippi,"2,634,960.00"
Missouri,"5,318,167.00"
Montana,"878,601.00"
Nebraska,"1,621,791.00"
Nevada,"2,398,089.00"
New Hampshire,"1,169,025.00"
New Jersey,"7,807,202.00"
New Mexico,"1,828,551.00"
New York,"17,207,705.00"
North Carolina,"8,467,509.00"
North Dakota,"597,261.00"
Ohio,"10,244,416.00"
Oklahoma,"3,331,200.00"
Oregon,"3,401,449.00"
Pennsylvania,"11,279,713.00"
Rhode Island,"934,679.00"
South Carolina,"4,107,323.00"
South Dakota,"722,992.00"
Tennessee,"5,635,341.00"
Texas,"22,329,258.00"
Utah,"2,454,330.00"
Vermont,"555,658.00"
Virginia,"7,104,909.00"
Washington,"5,971,392.00"
West Virginia,"1,645,459.00"
Wisconsin,"5,050,044.00"
Wyoming,"500,500.00"
